number,title,state,labels,milestone,user,assignee,assignees,created_at,updated_at,closed_at,body
29,Other topics in neural nets,open,,06 - Deep Learning,mraymer,,,2024-05-20T19:04:47Z,2024-05-20T19:04:48Z,,"- [ ] GANs
- [ ] Siamese Neural Networks
- [ ] Autoencoders
    - [ ] Variational Autoencoders"
28,Memory In Neural Networks,open,,06 - Deep Learning,mraymer,,,2024-05-20T19:02:30Z,2024-05-20T19:02:30Z,,"- [ ] Recurrent Neural Networks
- [ ] LSTMs
- [ ] Attention and Transformer Models
- [ ] Emerging methods:  SSNs and more"
27,Convolutional Neural Networks,open,,06 - Deep Learning,mraymer,,,2024-05-20T19:01:32Z,2024-05-20T19:01:32Z,,"- [ ] AlexNet
- [ ] VGG
- [ ] ResNet
- [ ] others"
26,PyTorch Tutorial,open,,,mraymer,,,2024-05-20T18:59:29Z,2024-05-20T18:59:29Z,,"- [ ] Follow all steps in the PyTorch tutorial sequence
- [ ] Create basic neural networks in PyTorch"
25,Fundamentals of Neural Networks,open,,06 - Deep Learning,mraymer,,,2024-05-20T18:58:53Z,2024-05-20T18:58:53Z,,"- [ ] Perceptrons, MLPs and feed-forward neural networks
- [ ] Back-propagation and network training
- [ ] Optimization via stochastic gradient descent
- [ ] Optimization meta-parameters: ADAM, etc."
24,Decision Trees and Random Forests,open,,04 - Supervised Learning,mraymer,,,2024-05-20T18:54:37Z,2024-05-20T18:54:38Z,,"- [ ] Decision tree classification
- [ ] Where to cut the tree:  Information theory and entropy
- [ ] Random Forest classification
- [ ] XG-boost and others"
23,Support Vector Machines,open,,04 - Supervised Learning,mraymer,,,2024-05-20T18:53:24Z,2024-05-20T18:53:25Z,,"- [ ] SVMs
- [ ] Linear kernels
- [ ] Non-linear kernels"
22,Evaluating Classification Accuracy,open,,05 - Model Evaluation,mraymer,,,2024-05-20T18:52:48Z,2024-05-20T18:56:06Z,,"- [ ] The need for Cross-validation
- [ ] Jackknife cross-validation
- [ ] Leave-One-Out (LOO) cross-validation
- [ ] Bootstrapping"
21,Bayesian Classification,open,,04 - Supervised Learning,mraymer,,,2024-05-20T18:51:38Z,2024-05-20T18:51:38Z,,"- [ ] Conditional probability
- [ ] Max likelihood classifier
- [ ] Bayes' Rule
- [ ] Priors, Class-Conditional and Marginal Distributions
- [ ] Naive Bayes Classification"
20,K-NN Classification,open,,04 - Supervised Learning,mraymer,,,2024-05-20T18:49:36Z,2024-05-20T18:49:37Z,,"- [ ] Algorithm
- [ ] Decision boundary
- [ ] Generalization"
19,Cluster Quality,open,,05 - Model Evaluation,mraymer,,,2024-05-20T18:48:50Z,2024-05-20T18:56:24Z,,"- [ ] Davies-Bouldin metric
- [ ] Silhouette Score
- [ ] Others?"
18,Density-based clustering,open,,02 - Unsupervised Learning,mraymer,,,2024-05-20T18:48:13Z,2024-05-20T18:48:13Z,,- [ ] DBScan
17,Hierarchical Cluster Analysis,open,,02 - Unsupervised Learning,mraymer,,,2024-05-20T18:47:39Z,2024-05-20T18:47:40Z,,"- [ ] Single-link
- [ ] Average-link
- [ ] Complete-link"
16,K-Means,open,,02 - Unsupervised Learning,mraymer,,,2024-05-20T18:45:34Z,2024-05-20T18:46:18Z,,
15,Other projection and visualization methods,open,,00 - Exploratory Data Analysis (EDA),mraymer,,,2024-05-20T18:45:09Z,2024-05-20T18:45:09Z,,"- [ ] All other visualization methods from [Visualizing MNIST](https://colah.github.io/posts/2014-10-Visualizing-MNIST/ )
- [ ] UMAP"
14,Linear Discriminant Analysis (LDA),open,,00 - Exploratory Data Analysis (EDA),mraymer,,,2024-05-20T18:43:55Z,2024-05-20T18:43:56Z,,"### Don't confuse with the ""other"" LDA - Latent Dirichlet Allocation.  We'll get to that later

- [ ] Mathematical formulation
- [ ] Comparison with PCA
- [ ] Using LDA in python"
13,Principal Component Analysis,open,,00 - Exploratory Data Analysis (EDA),mraymer,,,2024-05-20T18:42:12Z,2024-05-20T18:42:12Z,,"- [ ] Description
- [ ] Mathematical formulation
- [ ] Write/use in Python"
12,Visualizing with Seaborn and Matplotlib,open,,03 - Python Data Science,mraymer,,,2024-05-20T18:40:50Z,2024-05-20T18:40:50Z,,"- [ ] Seaborn
- [ ] Matplotlib
- [ ] Style packages"
11,Pandas,open,,03 - Python Data Science,mraymer,,,2024-05-20T18:40:16Z,2024-05-20T18:40:23Z,,"- [ ] Dataframes
- [ ] Vectors
- [ ] Querying, resizing, slicing, and using dataframes"
10,Numpy,open,,03 - Python Data Science,mraymer,,,2024-05-20T18:39:45Z,2024-05-20T18:39:45Z,,"- [ ] Creating arrays
- [ ] Slicing arrays
- [ ] Random data
- [ ] Resizing arrays"
9,Decorators,open,,,mraymer,,,2024-05-20T18:39:01Z,2024-05-20T18:39:02Z,,"- [ ] Using decorators
- [ ] Writing decorators"
8,Iterators and Generators,open,,01 - Python Basics,mraymer,,,2024-05-20T18:38:44Z,2024-05-20T18:38:44Z,,"- [ ] Iterators
- [ ] Generators"
7,List Comprehensions,open,,01 - Python Basics,mraymer,,,2024-05-20T18:36:52Z,2024-05-20T18:36:52Z,,
6,Python OOP,open,,01 - Python Basics,mraymer,,,2024-05-20T18:36:25Z,2024-05-20T18:37:28Z,,"- [ ] Classes
- [ ] Objects
- [ ] Operator Overloading
   - [ ] __init__
   - [ ] __str__
   - [ ] __add__, __sub__, __gt__, etc.
"
5,Read Visualizing MNIST,open,,00 - Exploratory Data Analysis (EDA),mraymer,,,2024-05-20T17:52:58Z,2024-05-20T17:52:58Z,,- [ ] Read [Visualizing MNIST](https://colah.github.io/posts/2014-10-Visualizing-MNIST/ )
4,"Lists, Tuples, Dictionaries",open,,01 - Python Basics,mraymer,,,2024-05-20T17:16:45Z,2024-05-20T17:17:13Z,,
3,Python Fundamentals,open,,01 - Python Basics,mraymer,,,2024-05-20T17:09:32Z,2024-05-20T17:17:13Z,,"
[ ] Variables
[ ] - operations
[ ] - structure and control
[ ] - functions
  [ ] - parameter passing: named/unnamed
  [ ] - variable length argument lists 
[ ] - IDE
[ ] - Jupyter"
2,Merge conflict branch,closed,,,rballentine25,,,2024-05-20T16:13:41Z,2024-05-20T16:13:48Z,2024-05-20T16:13:47Z,resolved merge conflict with main branch
1,updated branch-testing,closed,,,rballentine25,,,2024-05-20T15:45:42Z,2024-05-20T15:48:39Z,2024-05-20T15:48:39Z,- added section to show what was merged from new-test-branch